label,text
1,عرف مصطلح الجريمة الإلكترونية 
1,عرف مصطلح أمن المعلومات
1,عرف مصطلح الهندسة الاجتماعية النفسية
1,عرف مصطلح تبييض أو غسيل الأموال 
1,عرف مصطلح الذكاء الاصطناعي
1,عرف مصطلح التحليل الاقتصادي
1,عرف مصطلح الاحتباس الحراري
1,عرف مصطلح التنمية المستدامة
1,عرف مصطلح الديمقراطية البرلمانية
1,عرف مصطلح الطاقة المتجددة
1,عرف مصطلح التنمية المستدامة
1,عرف مصطلح الذكاء الاصطناعي
1,عرف مصطلح التغير المناخي
1,عرف مصطلح الجينوم البشري
1,عرف مصطلح التعلم العميق
1,عرف مصطلح التكنولوجيا النانوية
1,عرف مصطلح العولمة الاقتصادية
1,عرف مصطلح التحرش الجنسي
1,عرف مصطلح الانحراف الاجتماعي
1,عرف مصطلح الاكتئاب النفسي
1,عرف مصطلح التمييز العنصري
1,عرف مصطلح التشوه الجيني
1,عرف مصطلح الديمقراطية البرلمانية
1,عرف مصطلح البلاستيك القابل للتحلل
1,عرف مصطلح الانترنت الأشياء (IoT)
2,ما هي الأصناف الرئيسية للبرمجيات الماكرة
2,"  ماهي أشكال المضايقات التي يمكن أن يتعرض لها مستخدم وسائل التواصل الاجتماعي(فايسبوك، ...) ؟"
2,ما نوع الجريمة الإلكترونية التي قد تكون أنت  ضحيتها عبر بريد إلكتروني يخبرك بأن شخصا يريد أن يتقاسم معك جوائز أو أموالا؟
2,ماهي الأسس التي يجب إتباعها للحد من انتشار الجريمة الإلكترونية؟
2,ما هي أهم استراتيجيات الحماية من هجمات البرمجيات الخبيثة؟
2,ما هي أنواع الاحتيال الإلكتروني التي تستهدف المعاملات المصرفية عبر الإنترنت؟
2,ما هي السياسات الأمنية الأساسية لحماية الشبكات الحاسوبية من الاختراقات؟
2,ما هي الاحتياطات الأمنية التي يجب اتخاذها لحماية البيانات الشخصية على الإنترنت؟
2,ما هي الطرق الفعالة للتعرف على ومكافحة التسلل الإلكتروني والاختراقات السيبرانية؟
2,ما هي الأساليب الشائعة لاختراق الأجهزة الذكية والتجسس عليها؟
2,ماهي الطرق الفعالة لحماية بياناتك الشخصية على الإنترنت؟
2,ما هي التدابير الأمنية الواجب اتباعها عند استخدام شبكات الواي فاي العامة؟
2,ماهي أهم النصائح للحفاظ على سلامة الأطفال على الإنترنت؟
2,ما هي العواقب القانونية للتحرش عبر الإنترنت والتنمر الإلكتروني؟
2,"ماهي أبرز التقنيات المستخدمة في هجمات الاحتيال الإلكتروني (الفيشنج، السمسرة)؟"
2,ما هي الأنشطة غير القانونية المرتبطة بالويب العميق (Deep Web) والويب المظلم (Dark Web)؟
2,ماهي أفضل الممارسات لحماية حسابات البريد الإلكتروني من الاختراق؟
2,ما هي طرق التحقق الثنائي (Two-Factor Authentication) وأهميتها في الأمان الإلكتروني؟
2,ماهي أبرز طرق الدفاع عن الهجمات الإلكترونية للشركات والمؤسسات؟
2,ما هي السياسات والتشريعات المتعلقة بالخصوصية وحماية البيانات في الدولة؟
2,ماهي الطرق الفعالة للكشف المبكر عن اختراقات الأمان في الشبكات؟
2,ما هي أهم التحديات التي تواجه الأمان السيبراني في القطاع المالي؟
2,ماهي الأخطار المحتملة لاستخدام التطبيقات والبرامج من مصادر غير موثوقة؟
2,ما هي الاحتياطات الأمنية الواجب اتباعها عند التعامل مع رسائل البريد الإلكتروني الغير معروفة؟
2,ما هي أبرز الطرق لحماية هويتك الرقمية عبر الإنترنت والحد من عمليات الاحتيال الشخصية؟
3,ماهي النتائج المترتبة عن  إصابة  النظام المعلوماتي بحصان طروادة ؟  
3,ما هي النتائج المترتبة على استعمال تقنيات القياس الحيوي في الدخول إلى النظام المعلوماتي؟
3,ما النتائج المترتبة عن تطبيق سياسة أمن المعلومات في النظام المعلوماتي ؟
3,ما النتائج المترتبة على تطبيق اختبار الاختراق من طرف الهاكر؟
3,ما النتائج المترتبة عن انقطاع التيار الكهربائي المفاجئ على النظام المعلوماتي؟
3,ما النتائج المترتبة عن تسريب معلومات حساسة من النظام المعلوماتي؟
3,ما النتائج المترتبة عن استخدام برمجيات غير مرخصة على النظام المعلوماتي؟
3,ما النتائج المترتبة عن عدم تحديث برامج الحماية الخاصة بالنظام المعلوماتي؟
3,ما النتائج المترتبة عن فشل النظام المعلوماتي في التعامل مع هجمات الاحتيال الإلكتروني؟
3,ما النتائج المترتبة عن تسريب البيانات الشخصية في النظام المعلوماتي؟
3,ماهي النتائج المترتبة عن هجوم الفيروسات على النظام المعلوماتي؟
3,ما النتائج المترتبة عن انقطاع التيار الكهربائي الطارئ على النظام المعلوماتي؟
3,ما النتائج المترتبة عن سوء استخدام موظف لامتيازات الوصول في النظام المعلوماتي؟
3,ماهي النتائج المترتبة عن استخدام برامج ضارة (مالوير) في النظام المعلوماتي؟
3,ما النتائج المترتبة عن عدم تحديث برامج الأمان في النظام المعلوماتي بانتظام؟
3,ما النتائج المترتبة عن اختراق حساب مستخدم مهم في النظام المعلوماتي؟
3,ماهي النتائج المترتبة عن فقدان بيانات هامة في النظام المعلوماتي؟
3,ما النتائج المترتبة عن استخدام كلمات مرور ضعيفة في النظام المعلوماتي؟
3,ماهي النتائج المترتبة عن انتشار إشاعات كاذبة عبر النظام المعلوماتي؟
3,ما النتائج المترتبة عن استخدام برامج التجسس في النظام المعلوماتي؟
3,ماهي النتائج المترتبة عن تعطل الخدمات الحيوية في النظام المعلوماتي؟
3,ما النتائج المترتبة عن فشل نظام النسخ الاحتياطي في النظام المعلوماتي؟
3,ماهي النتائج المترتبة عن استخدام برامج التصيد الاحتيالي (الفيشنج) في النظام المعلوماتي؟
3,ما النتائج المترتبة عن عدم وجود سياسات واضحة لحماية الخصوصية في النظام المعلوماتي؟
3,ماهي النتائج المترتبة عن تعرض النظام المعلوماتي لهجمات تنكيل الخدمة (DDoS)؟
