Column2,Column1,Answer_ID,QID,Answer_Arabic,Mark1,Mark1_ceil,Mark2,Mark2_ceil,Average_Mark,Median,mark_floor,mark_ceil,Question_ID,Question_Type,Question_Arabic,Model_Arabic
20,20,21,1.1,هي كل سلوك غير قانوني بإستخدام الأجهزة الإلكترونية سواءا كان هاتف أم حاسوب و ذلك عن طريق الانترنت و يترتب عن ذلك فوائد مادية لمصلحة المخترق مع تكليف الضحية خسائر غالبا .,3.75,4,3.5,4,3.625,4,3,4,1,1,عرف مصطلح الجريمة الإلكترونية ,"هي كل سلوك غير قانوني يتم باستخدام الأجهزة الإلكترونية) الهاتف، الكمبيوتر، الانترنت (ينتج عنه حصول المجرم على فوائد مادية أو معنوية مع تحميل الضحية خسارة   وغالبا ما يكون هدف هذه الجرائم هو القرصنة من أجل سرقة أو إتلاف المعلومات وتكون عادة الانترنت أداة لها أو مسرحا لها"
21,21,22,1.1,هو سلوك غير قانوني يتم فيها إستعمال أجهزة إلكترونية و الحصول على فوائد مادية أو غير مادية .,2,2,3,3,2.5,2,2,3,1,1,عرف مصطلح الجريمة الإلكترونية ,"هي كل سلوك غير قانوني يتم باستخدام الأجهزة الإلكترونية) الهاتف، الكمبيوتر، الانترنت (ينتج عنه حصول المجرم على فوائد مادية أو معنوية مع تحميل الضحية خسارة   وغالبا ما يكون هدف هذه الجرائم هو القرصنة من أجل سرقة أو إتلاف المعلومات وتكون عادة الانترنت أداة لها أو مسرحا لها"
48,48,2,1.2,"هو الوسائل التقنية والفنية والإدارية اللازم توفيرها لحماية معالجة المعلومة )تخزينها، نقلها، معالجتها(",3,3,3.5,4,3.25,3,3,4,2,1,عرف مصطلح أمن المعلومات,حماية وتأمين كافة الموارد المستخدمة في معالجة المعلومات من منشآت نفسها والأفراد العاملين فيها وأجهزة الحاسب المستخدمة فيها ووسائط المعلومات التي تحتوي على البيانات    وذلك في جميع مراحل تواجد المعلومة (التخزين – النقل – المعالجة)
50,50,4,1.2,هو تأمين المنشأة نفسها وموظفيها وأنظمتها و أجهزتها و الوسائط التي تحتوي على المعلومة في كل مراحل تواجدها وتخزين (نقل ومعالجة),4,4,3.5,4,3.75,4,3,4,2,1,عرف مصطلح أمن المعلومات,حماية وتأمين كافة الموارد المستخدمة في معالجة المعلومات من منشآت نفسها والأفراد العاملين فيها وأجهزة الحاسب المستخدمة فيها ووسائط المعلومات التي تحتوي على البيانات    وذلك في جميع مراحل تواجد المعلومة (التخزين – النقل – المعالجة)
54,54,8,1.2,"هو تأمين جميع الوسائط المستعملة في معالجة المعلومات حيث تأمن المنشأة نفسها، الأفراد العاملين فيها، واجهزة الحاسب التي فيها و جميع أماكن تواجد البيانات خلال النقل، التخزين، المعالجة.",4.5,5,4.5,5,4.5,5,4,5,2,1,عرف مصطلح أمن المعلومات,حماية وتأمين كافة الموارد المستخدمة في معالجة المعلومات من منشآت نفسها والأفراد العاملين فيها وأجهزة الحاسب المستخدمة فيها ووسائط المعلومات التي تحتوي على البيانات    وذلك في جميع مراحل تواجد المعلومة (التخزين – النقل – المعالجة)
58,58,12,1.2,"هو إستعمال الموارد المتوفرة من أجل حماية المعلومات و البيانات ، من الناحية الأكاديمية : هو علم محاربة الإختراق ، من الناحية التقنية تطوير التقنيات و البرامج لمحاربة الإختراق، من الناحية الإدارية : إستعمال القانون و التشريعات.",4,4,4,4,4,4,4,4,2,1,عرف مصطلح أمن المعلومات,حماية وتأمين كافة الموارد المستخدمة في معالجة المعلومات من منشآت نفسها والأفراد العاملين فيها وأجهزة الحاسب المستخدمة فيها ووسائط المعلومات التي تحتوي على البيانات    وذلك في جميع مراحل تواجد المعلومة (التخزين – النقل – المعالجة)
71,71,25,1.2,هو تامين الحماية لأنظمة البيانات حتى لا يتم اختراقها وهي ترتكز على الحماية الادارية و الفنية,3,3,4,4,3.5,3,3,4,2,1,عرف مصطلح أمن المعلومات,حماية وتأمين كافة الموارد المستخدمة في معالجة المعلومات من منشآت نفسها والأفراد العاملين فيها وأجهزة الحاسب المستخدمة فيها ووسائط المعلومات التي تحتوي على البيانات    وذلك في جميع مراحل تواجد المعلومة (التخزين – النقل – المعالجة)
87,87,41,1.2,توفير و ضمان حماية المعلومات من المخاطر الداخلية و الخارجية التي تهددها بالإضافة الى توفير الوسائل و الأدوات و التدابير اللازمة لضمان سرية و سلمية المعلومات,3.5,4,4,4,3.75,4,3,4,2,1,عرف مصطلح أمن المعلومات,حماية وتأمين كافة الموارد المستخدمة في معالجة المعلومات من منشآت نفسها والأفراد العاملين فيها وأجهزة الحاسب المستخدمة فيها ووسائط المعلومات التي تحتوي على البيانات    وذلك في جميع مراحل تواجد المعلومة (التخزين – النقل – المعالجة)
99,99,6,1.3,مناهج و أساليب نفسية لإغراء وإيقاع بالأشخاص و توهيمهم بمصداقيتهم وقصد فهم مثل ارسال بريد الكتروني يحمل موقع لتأكيد الهوية الشخصية وهو ليس بالموقع الأصلي للإطاحة و سرقة البيانات الشخصية للأشخاص.,1.5,2,2.5,3,2,2,2,2,3,1,عرف مصطلح الهندسة الاجتماعية النفسية,هي ممارسة تستخدم أساليب التلاعب النفسي (العقلي) لإيذاء و خداع الآخرين والحصول على معلومات سرية يتم من خلالها اختراق الأمن بسبل غير تقنية عن طريق الهاتف أو البريد الالكتروني أو صفحات الانترنت أو وجها لوجه
102,102,9,1.3,هي استعمال أساليب و أدوات التلاعب النفسي(العقلي) لارتكاب الجرائم.,2,2,2,2,2,2,2,2,3,1,عرف مصطلح الهندسة الاجتماعية النفسية,هي ممارسة تستخدم أساليب التلاعب النفسي (العقلي) لإيذاء و خداع الآخرين والحصول على معلومات سرية يتم من خلالها اختراق الأمن بسبل غير تقنية عن طريق الهاتف أو البريد الالكتروني أو صفحات الانترنت أو وجها لوجه
