Column2,Column1,Answer_ID,QID,Answer_Arabic,Mark1,Mark1_ceil,Mark2,Mark2_ceil,Average_Mark,Median,mark_floor,mark_ceil,Question_ID,Question_Type,Question_Arabic,Model_Arabic
39,336,28,2.2,"المضايقات و الاحراج، نشر صور غير لائقة، السب و القذف، التشهير، التهديد و التخويف",5,5,5,5,5,5,5,5,2,2,"  ماهي أشكال المضايقات التي يمكن أن يتعرض لها مستخدم وسائل التواصل الاجتماعي(فايسبوك، ...) ؟","المعاكسات، السب والقذف، التشهير، تخويف أو تهديد، نشر صور غير لائقة"
30,327,19,2.2,التهديد و التخويف ـ السب و القذف ـ التشهير ـ نشر صور غير لائقة ـ المعاكسات,5,5,5,5,5,5,5,5,2,2,"  ماهي أشكال المضايقات التي يمكن أن يتعرض لها مستخدم وسائل التواصل الاجتماعي(فايسبوك، ...) ؟","المعاكسات، السب والقذف، التشهير، تخويف أو تهديد، نشر صور غير لائقة"
23,320,12,2.2,التحرش-السب والقذف-صور غير اخلاقية-نشر أفكار منحرفة ومحتوى فاسد,5,5,5,5,5,5,5,5,2,2,"  ماهي أشكال المضايقات التي يمكن أن يتعرض لها مستخدم وسائل التواصل الاجتماعي(فايسبوك، ...) ؟","المعاكسات، السب والقذف، التشهير، تخويف أو تهديد، نشر صور غير لائقة"
49,346,38,2.2,"السب و القذف، التشهير، نشر صور غير لائقة، انتحال شخصية و استخدامها لأغراض غير شرعية ",4,4,4,4,4,4,4,4,2,2,"  ماهي أشكال المضايقات التي يمكن أن يتعرض لها مستخدم وسائل التواصل الاجتماعي(فايسبوك، ...) ؟","المعاكسات، السب والقذف، التشهير، تخويف أو تهديد، نشر صور غير لائقة"
33,330,22,2.2,"الابتزاز والتهديد، التشهير و القذف والشتم ،سرقة الهوية، نشر صور مختلة للمستخدم و التهديد بها، الارهاب الالكتروني،التحرش و استغلال الاطفال",4,4,4.5,5,4.25,4,4,5,2,2,"  ماهي أشكال المضايقات التي يمكن أن يتعرض لها مستخدم وسائل التواصل الاجتماعي(فايسبوك، ...) ؟","المعاكسات، السب والقذف، التشهير، تخويف أو تهديد، نشر صور غير لائقة"
31,328,20,2.2," المعاكسات ، السب والقذف، التشهير ، التهديد بنشر الصور و المعلومات الشخصية",4,4,5,5,4.5,4,4,5,2,2,"  ماهي أشكال المضايقات التي يمكن أن يتعرض لها مستخدم وسائل التواصل الاجتماعي(فايسبوك، ...) ؟","المعاكسات، السب والقذف، التشهير، تخويف أو تهديد، نشر صور غير لائقة"
54,351,43,2.2,الابتزاز – التشهير- التهديد – اغراة الاطفال و القصر – وكذلك محاولة تغير المعتقدات و الأفكار,5,5,5,5,5,5,5,5,2,2,"  ماهي أشكال المضايقات التي يمكن أن يتعرض لها مستخدم وسائل التواصل الاجتماعي(فايسبوك، ...) ؟","المعاكسات، السب والقذف، التشهير، تخويف أو تهديد، نشر صور غير لائقة"
29,326,18,2.2,المعاكسات ـ المضايقات ـ السب و القذف ـ التشهير ـ تخويف و تهديد ـ نشر صور غير لائقة .,5,5,5,5,5,5,5,5,2,2,"  ماهي أشكال المضايقات التي يمكن أن يتعرض لها مستخدم وسائل التواصل الاجتماعي(فايسبوك، ...) ؟","المعاكسات، السب والقذف، التشهير، تخويف أو تهديد، نشر صور غير لائقة"
55,352,44,2.2,"السب و القذف و الشتم، نشر صور غير لائقة و نشر فيديوهات غير لائقة، التهديد و التخويف بإرسال الرسائل",5,5,5,5,5,5,5,5,2,2,"  ماهي أشكال المضايقات التي يمكن أن يتعرض لها مستخدم وسائل التواصل الاجتماعي(فايسبوك، ...) ؟","المعاكسات، السب والقذف، التشهير، تخويف أو تهديد، نشر صور غير لائقة"
44,341,33,2.2,"التهديد، السب والشتم، القذف و التشهير، نشر صوره الرسائل العشوائية",5,5,5,5,5,5,5,5,2,2,"  ماهي أشكال المضايقات التي يمكن أن يتعرض لها مستخدم وسائل التواصل الاجتماعي(فايسبوك، ...) ؟","المعاكسات، السب والقذف، التشهير، تخويف أو تهديد، نشر صور غير لائقة"
28,325,17,2.2,"التهديد , التجسس , سرقة المعلومات",2,2,1.5,2,1.75,2,1,2,2,2,"  ماهي أشكال المضايقات التي يمكن أن يتعرض لها مستخدم وسائل التواصل الاجتماعي(فايسبوك، ...) ؟","المعاكسات، السب والقذف، التشهير، تخويف أو تهديد، نشر صور غير لائقة"
41,338,30,2.2,"التعدي الالكتروني، التعدي المعادي الديني و السياسي و الشخصي، الارهاب ",2,2,0.5,1,1.25,1,1,2,2,2,"  ماهي أشكال المضايقات التي يمكن أن يتعرض لها مستخدم وسائل التواصل الاجتماعي(فايسبوك، ...) ؟","المعاكسات، السب والقذف، التشهير، تخويف أو تهديد، نشر صور غير لائقة"
56,353,45,2.2,"عبر الفايسبوك بريد الكتروني واتساب تويتر فايبر، السب الشتم التهديد نشر صور الفاضحة",2,2,3,3,2.5,2,2,3,2,2,"  ماهي أشكال المضايقات التي يمكن أن يتعرض لها مستخدم وسائل التواصل الاجتماعي(فايسبوك، ...) ؟","المعاكسات، السب والقذف، التشهير، تخويف أو تهديد، نشر صور غير لائقة"
24,321,13,2.2,"ـنشر صوره بغير حق و ابتزازه، التشهير و القذف و الشتم و السب، إنتهاك الخصوصية.",5,5,5,5,5,5,5,5,2,2,"  ماهي أشكال المضايقات التي يمكن أن يتعرض لها مستخدم وسائل التواصل الاجتماعي(فايسبوك، ...) ؟","المعاكسات، السب والقذف، التشهير، تخويف أو تهديد، نشر صور غير لائقة"
51,348,40,2.2,"الابتزاز، التهديد ، التشهير ، التحايل ر نشر افكار معادية للدين ، النصب ",4,4,5,5,4.5,4,4,5,2,2,"  ماهي أشكال المضايقات التي يمكن أن يتعرض لها مستخدم وسائل التواصل الاجتماعي(فايسبوك، ...) ؟","المعاكسات، السب والقذف، التشهير، تخويف أو تهديد، نشر صور غير لائقة"
18,315,7,2.2,"القرصنة، التهديد، السب والقذف، التسلل والتظليل، التشهير، التخويف، نشر الصور غير لائقة، الاختراق مع اخذ كلمة السر.  ",5,5,5,5,5,5,5,5,2,2,"  ماهي أشكال المضايقات التي يمكن أن يتعرض لها مستخدم وسائل التواصل الاجتماعي(فايسبوك، ...) ؟","المعاكسات، السب والقذف، التشهير، تخويف أو تهديد، نشر صور غير لائقة"
43,340,32,2.2,"التشهير  و السب والشتم،، نشر صور غير لائقة، الاعتداءات الالكترونية ",4,4,4,4,4,4,4,4,2,2,"  ماهي أشكال المضايقات التي يمكن أن يتعرض لها مستخدم وسائل التواصل الاجتماعي(فايسبوك، ...) ؟","المعاكسات، السب والقذف، التشهير، تخويف أو تهديد، نشر صور غير لائقة"
42,339,31,2.2," السب والشتم، و التهديدات بالرسائل و نشر صوره الخاصة و التعدي عليها ",3,3,3,3,3,3,3,3,2,2,"  ماهي أشكال المضايقات التي يمكن أن يتعرض لها مستخدم وسائل التواصل الاجتماعي(فايسبوك، ...) ؟","المعاكسات، السب والقذف، التشهير، تخويف أو تهديد، نشر صور غير لائقة"
15,312,4,2.2,"المعاكسات، السب والقذف، التهديد والتخويف ، التشهير، نشر صور غير لائقة، الابتزاز وسرقة الهوية",5,5,5,5,5,5,5,5,2,2,"  ماهي أشكال المضايقات التي يمكن أن يتعرض لها مستخدم وسائل التواصل الاجتماعي(فايسبوك، ...) ؟","المعاكسات، السب والقذف، التشهير، تخويف أو تهديد، نشر صور غير لائقة"
22,319,11,2.2,"السب التهديد، الابتزاز، التشهير سواء بمعلومات او صور ",4,4,5,5,4.5,4,4,5,2,2,"  ماهي أشكال المضايقات التي يمكن أن يتعرض لها مستخدم وسائل التواصل الاجتماعي(فايسبوك، ...) ؟","المعاكسات، السب والقذف، التشهير، تخويف أو تهديد، نشر صور غير لائقة"
46,343,35,2.2,"التهديد نشر صور غير لائقة، الشتم و القذف، التهديد والتخويف  ",4,4,3,3,3.5,3,3,4,2,2,"  ماهي أشكال المضايقات التي يمكن أن يتعرض لها مستخدم وسائل التواصل الاجتماعي(فايسبوك، ...) ؟","المعاكسات، السب والقذف، التشهير، تخويف أو تهديد، نشر صور غير لائقة"
59,356,48,2.2,التحرش الاغواء  الصور غير اللائقة ( خصوصية الفرد) الابتزاز التشهير السب و القذف,4,4,4.5,5,4.25,4,4,5,2,2,"  ماهي أشكال المضايقات التي يمكن أن يتعرض لها مستخدم وسائل التواصل الاجتماعي(فايسبوك، ...) ؟","المعاكسات، السب والقذف، التشهير، تخويف أو تهديد، نشر صور غير لائقة"
57,354,46,2.2,المعاكسة الترهيب التشهير نشر صور غير لائقة عن الضحية و غيرها,4,4,4,4,4,4,4,4,2,2,"  ماهي أشكال المضايقات التي يمكن أن يتعرض لها مستخدم وسائل التواصل الاجتماعي(فايسبوك، ...) ؟","المعاكسات، السب والقذف، التشهير، تخويف أو تهديد، نشر صور غير لائقة"
50,347,39,2.2,"التشهير، الابتزاز، استخدام صور البروفيل او سرقتها، الأشخاص غير مرغوب فيهم ",3,3,3.5,4,3.25,3,3,4,2,2,"  ماهي أشكال المضايقات التي يمكن أن يتعرض لها مستخدم وسائل التواصل الاجتماعي(فايسبوك، ...) ؟","المعاكسات، السب والقذف، التشهير، تخويف أو تهديد، نشر صور غير لائقة"
19,316,8,2.2,"نشر صور غير لائقة ، السب الشتم و القذف، التهديد و التخويف، سرقة البريد الالكتروني و التجسس و انتهاك الشخصية  .",4.5,5,5,5,4.75,5,4,5,2,2,"  ماهي أشكال المضايقات التي يمكن أن يتعرض لها مستخدم وسائل التواصل الاجتماعي(فايسبوك، ...) ؟","المعاكسات، السب والقذف، التشهير، تخويف أو تهديد، نشر صور غير لائقة"
